pk_cnae,nu_ordem,cd_ramo_atividade,cnae_dig2,de_ramo_atividade,ramo_atividade,divisao
21485,2,0151202,01,CULTIVO DE MILHO,PRODUTOS DE AGROPECUÁRIA,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS"
21486,0,5620104,56,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR,SERVIÇOS ADMINISTRATIVOS,ALIMENTAÇÃO
21487,0,7220700,72,ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE,SERVIÇOS DE EDUCAÇÃO,PESQUISA E DESENVOLVIMENTO CIENTÍFICO
21487,1,9001901,90,PESQUISA E DESENVOLVIMENTO EXPERIMENTAL EM CIENCIAS SOCIAIS E HUMANAS,SERVIÇOS DIVERSOS,"ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS"
21487,2,9001902,90,PRODUCAO DE ESPETACULOS DE DANCA,SERVIÇOS DIVERSOS,"ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS"
21487,3,9001903,90,PRODUCAO MUSICAL,SERVIÇOS DIVERSOS,"ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS"
21487,4,9493600,94,PRODUCAO TEATRAL,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
21488,0,6470101,64,"FUNDOS DE INVESTIMENTO, EXCETO PREVIDENCIARIOS E IMOBILIARIOS",BENS DE CAPITAL,ATIVIDADES DE SERVIÇOS FINANCEIROS
21489,0,9492800,94,ATIVIDADES DE ORGANIZACOES POLITICAS,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
21490,0,4712100,47,"COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS",SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21490,1,4721102,47,PADARIA E CONFEITARIA COM PREDOMINANCIA DE REVENDA,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21491,0,9492800,94,ATIVIDADES DE ORGANIZACOES POLITICAS,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
21492,0,9492800,94,ATIVIDADES DE ORGANIZACOES POLITICAS,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
